From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
P0A6M8	P0A6M8	reviewed	EFG_ECOLI	Elongation factor G (EF-G)	fusA far fus b3340 JW3302	Escherichia coli (strain K12)	704
M1FYN7	M1FYN7	unreviewed	M1FYN7_9BACT	DNA-directed RNA polymerase (EC 2.7.7.6)	rpoB	bacterium BM0605	175
P00579	P00579	reviewed	RPOD_ECOLI	RNA polymerase sigma factor RpoD (Sigma-70)	rpoD alt b3067 JW3039	Escherichia coli (strain K12)	613
O94992	O94992	reviewed	HEXI1_HUMAN	Protein HEXIM1 (Cardiac lineage protein 1) (Estrogen down-regulated gene 1 protein) (Hexamethylene bis-acetamide-inducible protein 1) (Menage a quatre protein 1)	HEXIM1 CLP1 EDG1 HIS1 MAQ1	Homo sapiens (Human)	359
P17735	P17735	reviewed	ATTY_HUMAN	Tyrosine aminotransferase (TAT) (EC 2.6.1.5) (L-tyrosine:2-oxoglutarate aminotransferase)	TAT	Homo sapiens (Human)	454
P50750	P50750	reviewed	CDK9_HUMAN	Cyclin-dependent kinase 9 (EC 2.7.11.22) (EC 2.7.11.23) (C-2K) (Cell division cycle 2-like protein kinase 4) (Cell division protein kinase 9) (Serine/threonine-protein kinase PITALRE) (Tat-associated kinase complex catalytic subunit)	CDK9 CDC2L4 TAK	Homo sapiens (Human)	372
Q4G0J3	Q4G0J3	reviewed	LARP7_HUMAN	La-related protein 7 (La ribonucleoprotein domain family member 7) (hLARP7) (P-TEFb-interaction protein for 7SK stability) (PIP7S)	LARP7 HDCMA18P	Homo sapiens (Human)	582
P17096	P17096	reviewed	HMGA1_HUMAN	High mobility group protein HMG-I/HMG-Y (HMG-I(Y)) (High mobility group AT-hook protein 1) (High mobility group protein A1) (High mobility group protein R)	HMGA1 HMGIY	Homo sapiens (Human)	107
P09132	P09132	reviewed	SRP19_HUMAN	Signal recognition particle 19 kDa protein (SRP19)	SRP19	Homo sapiens (Human)	144
P20424	P20424	reviewed	SRP54_YEAST	Signal recognition particle subunit SRP54 (EC 3.6.5.-) (Signal recognition particle 54 kDa protein homolog)	SRP54 SRH1 YPR088C P9513.14	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	541
Q8IUX4	Q8IUX4	reviewed	ABC3F_HUMAN	DNA dC->dU-editing enzyme APOBEC-3F (EC 3.5.4.38) (Apolipoprotein B mRNA-editing enzyme catalytic polypeptide-like 3F) (A3F)	APOBEC3F	Homo sapiens (Human)	373
P23246	P23246	reviewed	SFPQ_HUMAN	Splicing factor, proline- and glutamine-rich (100 kDa DNA-pairing protein) (hPOMp100) (DNA-binding p52/p100 complex, 100 kDa subunit) (Polypyrimidine tract-binding protein-associated-splicing factor) (PSF) (PTB-associated-splicing factor)	SFPQ PSF	Homo sapiens (Human)	707
Q01844	Q01844	reviewed	EWS_HUMAN	RNA-binding protein EWS (EWS oncogene) (Ewing sarcoma breakpoint region 1 protein)	EWSR1 EWS	Homo sapiens (Human)	656
Q96ST3	Q96ST3	reviewed	SIN3A_HUMAN	Paired amphipathic helix protein Sin3a (Histone deacetylase complex subunit Sin3a) (Transcriptional corepressor Sin3a)	SIN3A	Homo sapiens (Human)	1273
Q8VIG1	Q8VIG1	reviewed	REST_MOUSE	RE1-silencing transcription factor (Neural-restrictive silencer factor)	Rest Nrsf	Mus musculus (Mouse)	1082
P51608	P51608	reviewed	MECP2_HUMAN	Methyl-CpG-binding protein 2 (MeCp-2 protein) (MeCp2)	MECP2	Homo sapiens (Human)	486
B2WTN8	B2WTN8	unreviewed	B2WTN8_MOUSE	DNA-directed RNA polymerase (EC 2.7.7.6)	rpB2	Mus musculus (Mouse)	49
P08775	P08775	reviewed	RPB1_MOUSE	DNA-directed RNA polymerase II subunit RPB1 (RNA polymerase II subunit B1) (EC 2.7.7.6) (DNA-directed RNA polymerase II subunit A) (DNA-directed RNA polymerase III largest subunit)	Polr2a Rpii215 Rpo2-1	Mus musculus (Mouse)	1970
